publish_date,headline_text
2018-03-21 16:35:54,GBP/USD Rallies Higher on Improved UK Labour Market Report
2018-03-21 13:17:51,Positive Economic Data Fails Support New Zealand Dollar
2018-03-21 13:00:30,Australian Dollar Falls Even as Leading Index Improves
2018-03-20 19:41:42,Canadian Dollar Support by Strong Rally of Crude Oil
2018-03-20 18:07:04,US Dollar Rallies as Markets Prepare for Fed Hike
2018-03-20 16:17:41,Euro Sinks to New Lows on Weak German ZEW Survey Data
2018-03-20 14:43:05,Pound Loses Ground Following Weak UK Inflation Data
2018-03-20 12:49:49,Swiss Franc Vulnerable Despite Positive Fundamentals
2018-03-20 12:22:04,"Aussie Drops Intraday, Reverses Decline Sharply 9"
2018-03-19 12:15:04,Pound Climbs on Reports About Brexit Transition Deal
2018-03-19 11:35:40,Japanese Yen Losses Intraday Gains
2018-03-17 17:12:26,Canadian Logs Weekly Losses as Trade War Fears Grow 8
2018-03-16 16:03:08,USD/CAD Rallies Higher on Mixed US Releases
2018-03-16 14:02:10,EUR/USD Declines Despite Weak US Housing Data
2018-03-16 09:29:01,"NZ Dollar Driven Down by Economic Data, Risk Aversion"
2018-03-16 09:00:07,Australian Dollar Declines amid Trade War Concerns
2018-03-15 19:19:26,Canadian Dollar Fails to Find Support from Positive Fundamentals
2018-03-15 16:34:47,Dollar Receives Support from Fed Policy Outlook &amp; Economic Data C
2018-03-15 13:46:38,Norwegian Krone Gains as Norges Bank Hints at Interest Rate Hike
2018-03-15 13:35:03,Swiss Franc Drops as SNB Keeps Monetary Stimulus
2018-03-14 16:40:53,GBP/USD Declines as the UK Eels Russian Diplomats
2018-03-14 15:36:43,Euro Trades Lower on Mario Draghi’s Dovish Comments
2018-03-14 11:55:14,"Australian Dollar Climbs, Supported by Domestic &amp; Chinese Data"
2018-03-14 11:30:38,Swedish Krona Gains as Inflation Remains Stable
2018-03-13 17:56:57,EUR/USD Rallies Higher on Trump Firing Rex Tillerson
2018-03-13 12:45:18,Yen Drops Against Other Most-Traded Currencies
2018-03-13 12:19:51,Aussie Drops Even as Business Conditions Index Reaches Record High
2018-03-12 10:18:43,Japanese Yen Rallies Following Poor Domestic Data 1
2018-03-12 10:04:37,Australian Dollar Fails to Maintain Rally Despite Positive Fundamentals
2018-03-09 15:55:11,USD/CAD Declines on US and Canadian Employment Reports 2
2018-03-09 13:18:30,GBP/USD Trades Sideways on Weak UK Macro Releases
2018-03-08 16:07:09,EUR/USD Plummets on Draghi Speech After ECB Rate Decision C9
2018-03-07 17:35:36,USD/CAD Rallies on BoC Rate Decision amid Trade Tensions
2018-03-06 15:55:40,Euro Rallies Against US Dollar on North Korea Progress
2018-03-05 22:49:19,Australian Dollar Gains After Volatile Session
2018-03-05 22:08:32,"Euro Mixed After European Elections, Disappointing Economic Reports"
2018-03-03 12:24:50,US Dollar Demonstrates Decent Weekly Performance
2018-03-02 18:50:10,Canadian Dollar Weakens on Trader War Concerns &amp; Slowing Growth
2018-03-02 17:50:29,Euro Firm Despite Mixed Data &amp; Risk-Off Sentiment
2018-03-02 13:25:06,Japanese Yen Touches Highest Since November vs. US Dollar
2018-03-02 13:24:50,British Pound Trades Sideways on UK Construction PMI
2018-03-02 12:55:02,"NZ Dollar Fails to Rally, Dragged Down by Risk Aversion"
2018-03-01 22:45:12,US Dollar Weakens on US Trade Tariffs &amp; Jerome Powell Testimony
2018-03-01 22:10:00,"Swiss Franc Bounces on Risk Aversion, Unable to Beat EUR &amp; JPY"
2018-03-01 19:49:37,NZ Dollar Rallies vs. US Dollar in Thursday’s Trading
2018-03-01 19:35:46,Australian Dollar Extends Decline After Thursday’s Mixed Data
2018-03-01 16:57:39,"Euro Declines on Markit Eurozone PMI Data, Later Rebounds u"
2018-02-28 17:40:16,EUR/USD Declines on Eurozone Releases and US GDP Report
2018-02-28 15:21:25,NZ Dollar Drops Despite Improving Business Confidence
2018-02-28 14:39:04,British Pound Slumps to New Lows on Tough EU Brexit Stance
2018-02-27 16:02:33,Euro Drops to New Lows on Weak German Inflation Report
2018-02-27 14:30:13,Hungarian Forint Drops After Central Banks Stays Put
2018-02-27 14:16:24,NZ Dollar Drops After Trade Balance Turns to Deficit
2018-02-26 19:36:25,Great Britain Pound Retreats After Prior Rally
2018-02-23 15:36:04,Euro Declines Despite Positive German GDP and Eurozone CPI dU
2018-02-23 14:05:47,Japanese Yen Yen Third Strongest Currency on Friday
2018-02-23 13:54:44,Positive Retail Sales Data Doesn’t Help NZD Overcome Weakness
2018-02-22 15:40:49,Euro rallies higher against US dollar on ECB minutes
2018-02-21 17:44:02,"British Pound Declines on UK Jobs Report, Recovers on BoE Speeches"
2018-02-20 22:23:24,Loonie Extends Decline After Underwhelming Wholesale Sales c
2018-02-20 18:55:13,US Dollar Extends Rebound Ahead of FOMC Minutes
2018-02-20 16:15:53,Euro Trades Lower Ignoring Mixed German ZEW Survey Data U
2018-02-20 13:35:14,"NZ Dollar Gains on Rivals, Fails to Hold Ground vs. US Dollar"
2018-02-20 13:24:50,"RBA Keeps Keeps Neutral Stance, Aussie Retreats from Daily High 8"
2018-02-19 16:50:09,EUR/USD Declines as American Markets Remain Closed
2018-02-19 11:08:00,Australian Dollar Edges Higher in Subdued Monday’s Trade
2018-02-19 10:20:13,Japanese Yen Falls vs. Rivals Even as Trade Surplus Widens
2018-02-16 14:37:54,Pound Declines on Weak UK Retail Sales and US Housing Data
2018-02-16 11:40:02,Australian Dollar Gains Despite RBA Governor Keeping Neutral Stance
2018-02-16 11:19:51,"NZ Dollar Halts Rally After Manufacturing Data, Resumes Rise Later"
2018-02-15 15:24:19,EUR/USD Trades Sideways on ECB Speeches and Mixed US Data
2018-02-14 15:25:52,US Dollar Rallies Briefly Against Peers on Upbeat US Inflation Data C
2018-02-14 12:18:31,Euro Declines Against US Dollar on Mixed Eurozone GDP Data
2018-02-14 11:52:05,Japanese Yen Retains Strength Despite Slowing Economic Growth U
2018-02-14 11:33:04,AUD/USD Loses Gains After Intraday Rally
2018-02-13 21:13:44,Dollar Soft Ahead of Inflation Data Released on Wednesday
