publish_date,headline_text
2018-03-21 16:35:54,GBP/USD Rallies Higher on Improved UK Labour Market Report
2018-03-21 13:17:51,Positive Economic Data Fails Support New Zealand Dollar
2018-03-21 13:00:30,Australian Dollar Falls Even as Leading Index Improves
2018-03-20 19:41:42,Canadian Dollar Support by Strong Rally of Crude Oil
2018-03-20 18:07:04,US Dollar Rallies as Markets Prepare for Fed Hike
2018-03-16 16:03:08,USD/CAD Rallies Higher on Mixed US Releases
2018-03-16 14:02:10,EUR/USD Declines Despite Weak US Housing Data
2018-03-16 09:29:01,"NZ Dollar Driven Down by Economic Data, Risk Aversion"
2018-03-16 09:00:07,Australian Dollar Declines amid Trade War Concerns
2018-03-15 19:19:26,Canadian Dollar Fails to Find Support from Positive Fundamentals
2018-03-15 16:34:47,Dollar Receives Support from Fed Policy Outlook &amp; Economic Data C
2018-03-14 16:40:53,GBP/USD Declines as the UK Eels Russian Diplomats
2018-03-14 11:55:14,"Australian Dollar Climbs, Supported by Domestic &amp; Chinese Data"
2018-03-13 17:56:57,EUR/USD Rallies Higher on Trump Firing Rex Tillerson
2018-03-12 10:04:37,Australian Dollar Fails to Maintain Rally Despite Positive Fundamentals
2018-03-09 15:55:11,USD/CAD Declines on US and Canadian Employment Reports 2
2018-03-09 13:18:30,GBP/USD Trades Sideways on Weak UK Macro Releases
2018-03-08 16:07:09,EUR/USD Plummets on Draghi Speech After ECB Rate Decision C9
2018-03-07 17:35:36,USD/CAD Rallies on BoC Rate Decision amid Trade Tensions
2018-03-06 15:55:40,Euro Rallies Against US Dollar on North Korea Progress
2018-03-05 22:49:19,Australian Dollar Gains After Volatile Session
2018-03-03 12:24:50,US Dollar Demonstrates Decent Weekly Performance
2018-03-02 18:50:10,Canadian Dollar Weakens on Trader War Concerns &amp; Slowing Growth
2018-03-02 13:25:06,Japanese Yen Touches Highest Since November vs. US Dollar
2018-03-02 12:55:02,"NZ Dollar Fails to Rally, Dragged Down by Risk Aversion"
2018-03-01 22:45:12,US Dollar Weakens on US Trade Tariffs &amp; Jerome Powell Testimony
2018-03-01 19:49:37,NZ Dollar Rallies vs. US Dollar in Thursday’s Trading
2018-03-01 19:35:46,Australian Dollar Extends Decline After Thursday’s Mixed Data
2018-02-28 17:40:16,EUR/USD Declines on Eurozone Releases and US GDP Report
2018-02-28 15:21:25,NZ Dollar Drops Despite Improving Business Confidence
2018-02-27 14:16:24,NZ Dollar Drops After Trade Balance Turns to Deficit
2018-02-22 15:40:49,Euro rallies higher against US dollar on ECB minutes
2018-02-20 18:55:13,US Dollar Extends Rebound Ahead of FOMC Minutes
2018-02-20 13:35:14,"NZ Dollar Gains on Rivals, Fails to Hold Ground vs. US Dollar"
2018-02-19 16:50:09,EUR/USD Declines as American Markets Remain Closed
2018-02-19 11:08:00,Australian Dollar Edges Higher in Subdued Monday’s Trade
2018-02-19 10:20:13,Japanese Yen Falls vs. Rivals Even as Trade Surplus Widens
2018-02-16 11:40:02,Australian Dollar Gains Despite RBA Governor Keeping Neutral Stance
2018-02-16 11:19:51,"NZ Dollar Halts Rally After Manufacturing Data, Resumes Rise Later"
2018-02-15 15:24:19,EUR/USD Trades Sideways on ECB Speeches and Mixed US Data
2018-02-14 15:25:52,US Dollar Rallies Briefly Against Peers on Upbeat US Inflation Data C
2018-02-14 12:18:31,Euro Declines Against US Dollar on Mixed Eurozone GDP Data
2018-02-14 11:33:04,AUD/USD Loses Gains After Intraday Rally
2018-02-13 21:13:44,Dollar Soft Ahead of Inflation Data Released on Wednesday
2018-02-13 16:29:11,"GBP/USD Rallies Higher on UK Inflation Data, Later Declines"
2018-02-13 11:18:20,"Australian Dollar Steady vs. US Dollar, Tumbles vs. Euro &amp; Yen"
2018-02-09 18:31:45,Canadian Dollar Hit by Biggest Decline in Employment Since
2018-02-09 14:54:05,GBP/USD Hits New -Week Lows on Mixed UK Data u
2018-02-09 11:38:04,NZ Dollar Bounce After Decline Caused by China’s Data
2018-02-08 20:34:58,USD/MXN Rises a Little After Mexican Central Bank Raises Key Rate u1
2018-02-08 19:51:34,Canadian Dollar Soft Ahead of Friday’s Employment Report
2018-02-08 15:22:13,Pound Rallies Against US Dollar on Hawkish BoE Rate Hold
2018-02-08 11:14:42,"NZ Dollar Soft After RBNZ Meeting, Tries to Crawl Back"
2018-02-07 14:47:44,Euro Drops Against US Dollar Despite German Coalition Deal
2018-02-07 12:06:51,Australian Dollar Falls Despite Faster Growth of Construction Sector
2018-02-07 11:53:08,"NZ Dollar Gets Boost from Employment Data, Struggles to Keep Gains"
2018-02-06 15:57:41,EUR/USD Trades Lower Amid Resurgence in US Dollar Demand
2018-02-05 14:51:29,Euro Drops Against US Dollar on Weak Eurozone Retail Sales Data
2018-02-05 10:55:07,Australian Dollar Recovers After Opening Lower
2018-02-02 14:34:39,US Dollar Climbs Against Major Peers on Broad Job Gains in January
2018-02-02 12:44:30,NZ Dollar Falls with Building Permits
2018-02-02 12:25:31,Australian Dollar Doesn’t Find Help from Positive PPI c
2018-02-01 15:53:22,Pound Rallies Against US Dollar on Strong UK Housing Data
2018-02-01 13:30:07,Positive Economic Data Doesn’t Prevent Slump of Australian Dollar
2018-02-01 13:06:29,Chinese Yuan Retreats vs. US Dollar Even as China’s Manufacturing Grows
2018-01-31 15:34:07,Euro Rallies Higher Against US Dollar on Upbeat Eurozone CPI
2018-01-31 13:25:52,Australian Dollar Bounces After Losses Caused by Disappointing Data
2018-01-31 13:09:08,NZ Dollar Strong Despite Mixed Data from China 0U
2018-01-30 14:46:22,US Dollar Plummets as Anticipation Builds Up for Interest Rate Decision
2018-01-30 13:27:40,GBP/USD Rallies Higher on UK Credit Data and US Dollar Weakness
2018-01-30 11:40:47,"NZ Dollar Behaves Similar to Aussie, Ignoring New Zealand Trade Balance"
2018-01-29 15:15:28,Euro Declines Against US Dollar on Positive US Inflation Data 2
2018-01-29 10:21:14,"Greenback Tries to Regain Ground on Monday, AUD/USD Goes Lower"
2018-01-27 16:36:47,"Dollar Remains Extremely Vulnerable, Falls vs. Major Rivals Over Week"
